"ID_RSU";"LCZ_PRIMARY";"LCZ_UNIQUENESS_VALUE";"ID_RSU.1";"LCZ_PRIMARY.1";"LCZ_UNIQUENESS_VALUE.1";"area";"agree";"location"
424;"Sparsely Built";1;207;"Sparsely Built";1;70.4212114270194;TRUE;"Your Place"
483;"Sparsely Built";1;207;"Sparsely Built";1;39.617699907627;TRUE;"Your Place"
777;"Compact low";0.484218592160539;207;"Sparsely Built";1;48.0692828400643;FALSE;"Your Place"
312;"Large low";NA;207;"Sparsely Built";1;1.35984109144192;FALSE;"Your Place"
558;"Large low";NA;207;"Sparsely Built";1;6.73216483036049;FALSE;"Your Place"
589;"Large low";NA;207;"Sparsely Built";1;116.654646399358;FALSE;"Your Place"
461;"Bare rock paved";NA;207;"Sparsely Built";1;790.964999997988;FALSE;"Your Place"
721;"Bare rock paved";NA;207;"Sparsely Built";1;7.91054974542931;FALSE;"Your Place"
740;"Bare rock paved";NA;207;"Sparsely Built";1;572.262540396303;FALSE;"Your Place"
444;"Low plants";NA;207;"Sparsely Built";1;47128.7582393319;FALSE;"Your Place"
441;"Sparsely Built";1;211;"Sparsely Built";0.994618067427207;3.69642473313434;TRUE;"Your Place"
477;"Sparsely Built";0.920165357842559;211;"Sparsely Built";0.994618067427207;71078.3439093791;TRUE;"Your Place"
500;"Open low";0.238084361499886;211;"Sparsely Built";0.994618067427207;36.5933745678849;FALSE;"Your Place"
523;"Sparsely Built";0.826851968025596;211;"Sparsely Built";0.994618067427207;199.556302766083;TRUE;"Your Place"
531;"Sparsely Built";0.567013665405127;211;"Sparsely Built";0.994618067427207;3.49797639426833;TRUE;"Your Place"
560;"Open mid";0.0098264733783637;211;"Sparsely Built";0.994618067427207;32096.8937350172;FALSE;"Your Place"
562;"Sparsely Built";0.291669813158481;211;"Sparsely Built";0.994618067427207;15.9562563862128;TRUE;"Your Place"
574;"Sparsely Built";0.81923609073883;211;"Sparsely Built";0.994618067427207;20612.9671083985;TRUE;"Your Place"
592;"Open low";0.590610461121593;211;"Sparsely Built";0.994618067427207;0.897728256415576;FALSE;"Your Place"
638;"Sparsely Built";0.0978120980482985;211;"Sparsely Built";0.994618067427207;74.4101049824731;TRUE;"Your Place"
639;"Sparsely Built";0.296923294776662;211;"Sparsely Built";0.994618067427207;4167.27000655973;TRUE;"Your Place"
662;"Sparsely Built";1;211;"Sparsely Built";0.994618067427207;57.345620328706;TRUE;"Your Place"
708;"Sparsely Built";1;211;"Sparsely Built";0.994618067427207;12.5017074327916;TRUE;"Your Place"
620;"Large low";NA;211;"Sparsely Built";0.994618067427207;0.08313856238874;FALSE;"Your Place"
509;"Dense trees";NA;211;"Sparsely Built";0.994618067427207;674.80424485635;FALSE;"Your Place"
525;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;3.93814999819733;FALSE;"Your Place"
540;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;1256.09351197944;FALSE;"Your Place"
596;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;190.949419771438;FALSE;"Your Place"
607;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;322.164999996312;FALSE;"Your Place"
