"ID_RSU";"LCZ_PRIMARY";"LCZ_UNIQUENESS_VALUE";"ID_RSU.1";"LCZ_PRIMARY.1";"LCZ_UNIQUENESS_VALUE.1";"area";"agree";"location"
562;"Sparsely Built";0.291669813158481;211;"Sparsely Built";0.994618067427207;15.9562563862128;TRUE;"Redon"
574;"Sparsely Built";0.81923609073883;211;"Sparsely Built";0.994618067427207;20612.9671083985;TRUE;"Redon"
592;"Open low";0.590610461121593;211;"Sparsely Built";0.994618067427207;0.897728256415576;FALSE;"Redon"
638;"Sparsely Built";0.0978120980482985;211;"Sparsely Built";0.994618067427207;74.4101049824731;TRUE;"Redon"
639;"Sparsely Built";0.296923294776662;211;"Sparsely Built";0.994618067427207;4167.27000655973;TRUE;"Redon"
662;"Sparsely Built";1;211;"Sparsely Built";0.994618067427207;57.345620328706;TRUE;"Redon"
708;"Sparsely Built";1;211;"Sparsely Built";0.994618067427207;12.5017074327916;TRUE;"Redon"
620;"Large low";NA;211;"Sparsely Built";0.994618067427207;0.08313856238874;FALSE;"Redon"
509;"Dense trees";NA;211;"Sparsely Built";0.994618067427207;674.80424485635;FALSE;"Redon"
525;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;3.93814999819733;FALSE;"Redon"
540;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;1256.09351197944;FALSE;"Redon"
596;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;190.949419771438;FALSE;"Redon"
607;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;322.164999996312;FALSE;"Redon"
611;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;228.970000002999;FALSE;"Redon"
613;"Low plants";NA;211;"Sparsely Built";0.994618067427207;227.866500006872;FALSE;"Redon"
617;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;353.960199991008;FALSE;"Redon"
619;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;16.4146000019391;FALSE;"Redon"
624;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;17.2725000004575;FALSE;"Redon"
625;"Dense trees";NA;211;"Sparsely Built";0.994618067427207;2.53346282144776;FALSE;"Redon"
636;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;27.0470999973404;FALSE;"Redon"
654;"Low plants";NA;211;"Sparsely Built";0.994618067427207;2.01213600009214;FALSE;"Redon"
703;"Bare rock paved";NA;211;"Sparsely Built";0.994618067427207;7.81634393860804;FALSE;"Redon"
552;"Low plants";NA;211;"Sparsely Built";0.994618067427207;9967.06899899337;FALSE;"Redon"
507;"Scattered trees";NA;211;"Sparsely Built";0.994618067427207;0.0215791854225245;FALSE;"Redon"
520;"Dense trees";NA;211;"Sparsely Built";0.994618067427207;2077.05900711038;FALSE;"Redon"
