"ID_RSU";"bdtopo.2.2";"LCZ_UNIQUENESS_VALUE";"ID_RSU.1";"osm";"LCZ_UNIQUENESS_VALUE.1";"area";"location";"agree"
587;"101";NA;277;"9";0.942603365174284;7.78909729095176;"No specified Location";FALSE
585;"102";NA;277;"9";0.942603365174284;12.7140261625173;"No specified Location";FALSE
721;"105";NA;277;"9";0.942603365174284;1629.63937929273;"No specified Location";FALSE
724;"9";0.76939248388338;277;"9";0.942603365174284;23382.1574965995;"No specified Location";TRUE
740;"105";NA;277;"9";0.942603365174284;1310.52245959826;"No specified Location";FALSE
777;"3";0.484218592160539;277;"9";0.942603365174284;15.2305726513732;"No specified Location";FALSE
766;"6";0.588184586148547;277;"9";0.942603365174284;42.4951398858102;"No specified Location";FALSE
620;"8";NA;284;"6";0.196967570202272;13.8386058573378;"No specified Location";FALSE
453;"9";1;284;"6";0.196967570202272;41.569219573983;"No specified Location";FALSE
750;"6";0.865935720198607;284;"6";0.196967570202272;148.029301726863;"No specified Location";TRUE
808;"6";0.154323144578332;284;"6";0.196967570202272;12.2214442126742;"No specified Location";TRUE
855;"6";0.231417520382137;284;"6";0.196967570202272;0.0507427828915752;"No specified Location";TRUE
838;"3";0.06793028881648;284;"6";0.196967570202272;31.9940064968541;"No specified Location";FALSE
748;"6";0.213118522713949;284;"6";0.196967570202272;11610.9356734181;"No specified Location";TRUE
749;"102";NA;285;"6";0.819238125740683;73.90497392416;"No specified Location";FALSE
693;"102";NA;285;"6";0.819238125740683;1.50783414469333;"No specified Location";FALSE
620;"8";NA;285;"6";0.819238125740683;3.84123003661807;"No specified Location";FALSE
750;"6";0.865935720198607;285;"6";0.819238125740683;28500.0529496945;"No specified Location";TRUE
808;"6";0.154323144578332;285;"6";0.819238125740683;74.419134347183;"No specified Location";TRUE
778;"6";0.679941193855847;285;"6";0.819238125740683;153.773393408366;"No specified Location";TRUE
748;"6";0.213118522713949;285;"6";0.819238125740683;2.52501332928659;"No specified Location";TRUE
750;"6";0.865935720198607;290;"6";0.786257510733075;9.64240547633381;"No specified Location";TRUE
778;"6";0.679941193855847;290;"6";0.786257510733075;8515.60068501905;"No specified Location";TRUE
789;"2";0.770969802528575;292;"2";0.0874836010951696;27.9309944951674;"No specified Location";TRUE
774;"3";0.103621330209316;292;"2";0.0874836010951696;15.5297098221272;"No specified Location";FALSE
760;"3";0.0804379293873165;292;"2";0.0874836010951696;6847.88599784765;"No specified Location";FALSE
781;"3";0.614266038483175;292;"2";0.0874836010951696;56.9014692892088;"No specified Location";FALSE
793;"3";0.357225286031896;292;"2";0.0874836010951696;1027.16769680608;"No specified Location";FALSE
815;"2";0.661943608313663;292;"2";0.0874836010951696;1.54902725681313;"No specified Location";TRUE
648;"102";NA;292;"2";0.0874836010951696;65.0849549705163;"No specified Location";FALSE
759;"6";0.724080160697966;292;"2";0.0874836010951696;20.3665392769035;"No specified Location";FALSE
585;"102";NA;293;"2";0.69980631921934;22.4584063829388;"No specified Location";FALSE
724;"9";0.76939248388338;293;"2";0.69980631921934;34.4016090067162;"No specified Location";FALSE
795;"3";0.112250552401753;293;"2";0.69980631921934;2.59351123258421;"No specified Location";FALSE
777;"3";0.484218592160539;293;"2";0.69980631921934;45.9046768061817;"No specified Location";FALSE
766;"6";0.588184586148547;293;"2";0.69980631921934;5838.20245557884;"No specified Location";FALSE
